keys,zh_TW,zh_CN,en
MERCHANT_BUY_MATERIAL_FMT,購買「%s」　%d 金幣,,
MERCHANT_SELL_MATERIAL_FMT,回收「%s」　+%d 金幣,,
MERCHANT_BOUGHT_MATERIAL_FMT,已購買「%s」。,,
MERCHANT_SOLD_MATERIAL_FMT,已回收「%s」。,,
MERCHANT_NOT_ENOUGH_GOLD,金幣不足。,,
MERCHANT_NO_MATERIAL,素材不足。,,
MERCHANT_NO_GOODS,完成更多關卡後，這裡會販賣那些關卡的掉落素材。,,
MERCHANT_CLOSE,離開雜貨鋪,,
ARMAMENT_NONE_DESC,不裝備武裝。,,
ARMAMENT_IRON_SWORD_NAME,鐵劍,,
ARMAMENT_IRON_SWORD_DESC,進場利劍 +1。均衡近戰：攻擊、血量與爆率。,,
ARMAMENT_HUNTER_BOW_NAME,獵弓,,
ARMAMENT_HUNTER_BOW_DESC,進場弓箭 +1。機動射手：移速、攻速與爆率。,,
ARMAMENT_COPPER_AXE_NAME,銅斧,,
ARMAMENT_COPPER_AXE_DESC,進場斧頭 +1。重擊型：攻擊、防禦與爆傷。,,
ARMAMENT_BONE_STAFF_NAME,骨魔杖,,
ARMAMENT_BONE_STAFF_DESC,進場魔彈 +1。術者型：攻擊、攻速與小量爆率。,,
ARMAMENT_STONE_SPEAR_NAME,石矛,,
ARMAMENT_STONE_SPEAR_DESC,進場長槍 +1。長柄型：攻擊、生存與爆傷。,,
ARMAMENT_CLOTH_ARMOR_NAME,布甲,,
ARMAMENT_CLOTH_ARMOR_DESC,進場「鋼鐵肌膚」+1。防禦型：血量、防禦與少量移速。,,
ARMAMENT_FLAT_STATS_PREFIX,基礎屬性：,,
VILLAGE_RESUME,繼續遊覽 (ESC),,
VILLAGE_LEAVE,離開村莊,,
RARITY_COMMON,一般,,
RARITY_RARE,稀有,,
RARITY_EPIC,史詩,,
RARITY_LEGEND,傳說,,
WEAPON_SWORD_NAME,利劍,,
WEAPON_SWORD_MAX,目標越少傷害提升,,
WEAPON_SPEAR_NAME,長槍,,
WEAPON_SPEAR_MAX,目標越多傷害提升,,
WEAPON_AXE_NAME,斧頭,,
WEAPON_AXE_MAX,攻擊後投出會返回的斧頭,,
WEAPON_MAGIC_BULLET_NAME,魔彈,,
WEAPON_MAGIC_BULLET_MAX,爆炸範圍受到攻擊範圍影響,,
WEAPON_BOW_NAME,弓箭,,
WEAPON_BOW_MAX,投射物附加貫穿,,
WEAPON_MELODY_NAME,飛鏢,,
WEAPON_MELODY_MAX,擊中敵人附加易傷,,
WEAPON_CLAW_NAME,爪擊,,
WEAPON_CLAW_MAX,擊中敵人附加流血,,
WEAPON_SHARD_NAME,碎刃,,
WEAPON_SHARD_MAX,環繞速度增加,,
WEAPON_FLAME_NAME,火焰,,
WEAPON_FLAME_MAX,燃燒傷害加倍,,
WEAPON_LIGHTNING_NAME,閃電,,
WEAPON_LIGHTNING_MAX,反彈次數+2,,
WEAPON_ICE_NAME,寒冰,,
WEAPON_ICE_MAX,對緩速敵人增傷,,
WEAPON_POISON_NAME,毒素,,
WEAPON_POISON_MAX,中毒敵人降低攻擊力,,
WEAPON_HOLY_NAME,聖光,,
WEAPON_HOLY_MAX,回血效果支援隊友,,
CHAR_SWORDSMAN_NAME,劍士,,
CHAR_SWORDSMAN_DESC,均衡型：近戰素質標準，血量稍高以支撐近距離戰鬥。,,
CHAR_KNIGHT_NAME,騎士,,
CHAR_KNIGHT_DESC,坦克型：極高的生存能力，雖然移速較慢，但能承受大量傷害。,,
CHAR_WIZARD_NAME,巫師,,
CHAR_WIZARD_DESC,玻璃大砲：生存能力極低，但擁有最高攻擊力。,,
CHAR_RANGER_NAME,遊俠,,
CHAR_RANGER_DESC,遠程拉打：較高的移動速度補足血量弱點，適合遠距離狙擊。,,
CHAR_BARD_NAME,武士,,
CHAR_BARD_DESC,輔助/功能：素質平庸但靈活度高，依賴武器易傷特效輔助。,,
CHAR_WEREWOLF_NAME,狼人,,
CHAR_WEREWOLF_DESC,敏捷近戰：高攻擊、極高移速，透過快速切入與流血造成威脅。,,
CHAR_WARRIOR_NAME,戰士,,
CHAR_WARRIOR_DESC,猛攻型：較劍士更偏重輸出，以近戰壓制換取略低的生存能力。,,
CHAR_VAMPIRE_LORD_NAME,吸血鬼領主,,
CHAR_VAMPIRE_LORD_DESC,傳說血族：爪擊與高機動兼顧，擅長貼身纏鬥與持續壓制。,,
CHAR_FLAME_WITCH_NAME,烈焰靈女巫,,
CHAR_FLAME_WITCH_DESC,傳說術者：駕馭火焰範圍傷害，爆發與控場兼備。,,
WUP_W_DAMAGE_NAME,傷害增加,,
WUP_W_RANGE_NAME,範圍增加,,
WUP_W_RATE_NAME,攻擊頻率,,
WUP_W_COUNT_NAME,投射物增加,,
CUP_C_HP_NAME,強健體魄,,
CUP_C_HP_DESC,血量上限 +20%,,
CUP_C_SPEED_NAME,疾風步,,
CUP_C_SPEED_DESC,移動速度 +10%,,
CUP_C_COOLDOWN_NAME,急速冷卻,,
CUP_C_COOLDOWN_DESC,全武器攻速 +10%,,
CUP_C_PICKUP_NAME,吸取範圍,,
CUP_C_PICKUP_DESC,拾取範圍 +25%,,
CUP_C_XP_NAME,智慧之心,,
CUP_C_XP_DESC,經驗值 +15%,,
CUP_C_ARMOR_NAME,鋼鐵肌膚,,
CUP_C_ARMOR_DESC,受傷減少 10%,,
CUP_C_REGEN_NAME,回復術,,
CUP_C_REGEN_DESC,每秒回復 +0.5,,
CUP_C_ATK_NAME,力量強化,,
CUP_C_ATK_DESC,全武器傷害 +10%,,
PASSIVE_NONE_NAME,無,,
PASSIVE_NONE_DESC,尚未選擇被動。,,
PASSIVE_FIGHTING_SPIRIT_NAME,鬥志高昂,,
PASSIVE_FIGHTING_SPIRIT_DESC,每擊殺 5 名敵人，為自身技能量表填充一小段；觸發後 5 秒內不會再次因本被動充能。,,
PASSIVE_UNYIELDING_NAME,堅忍不屈,,
PASSIVE_UNYIELDING_DESC,受到傷害時（含格擋擋下的攻擊）為自身技能量表填充一段；觸發後 5 秒內不會再次因本被動充能。,,
PASSIVE_ARCANE_MASTERY_NAME,奧術精通,,
PASSIVE_ARCANE_MASTERY_DESC,技能命中敵人或彈針時，為自身技能量表填充一段；觸發後 5 秒內不會再次因本被動充能。,,
PASSIVE_QUICK_STEP_NAME,快射節奏,,
PASSIVE_QUICK_STEP_DESC,每累積 8 次武器命中為自身技能量表填充一段；觸發後 5 秒內不會再次因本被動充能。,,
PASSIVE_BREAKTHROUGH_NAME,突破重圍,,
PASSIVE_BREAKTHROUGH_DESC,自身一次攻擊命中 3 名以上敵人，或 5 秒內攻擊同一敵人 3 次時，為自身技能量表填充一段；觸發後 5 秒內不會再次因本被動充能。,,
PASSIVE_SWORD_AURA_RESONANCE_NAME,劍氣共鳴,,
PASSIVE_SWORD_AURA_RESONANCE_DESC,自身給予敵人異常狀態時，為自身技能量表填充一段；觸發後 5 秒內不會再次因本被動充能。,,
SKILL_NONE_NAME,無,,
SKILL_NONE_DESC,尚未選擇技能。,,
SKILL_WHIRL_SLASH_NAME,迴旋斬,,
SKILL_WHIRL_SLASH_DESC,戰鬥：對自身周圍 15 米範圍造成大威力傷害。\n彈珠台：摧毀 1 格獎勵（變成 3 選 1）。,,
SKILL_HEAVY_ARMOR_NAME,重裝防禦,,
SKILL_HEAVY_ARMOR_DESC,戰鬥：賦予自身 2 次格擋（無視該次傷害）。\n彈珠台：彈珠變重（重力上升），碰 2 次會破壞彈針。,,
SKILL_AGILE_TACTICS_NAME,靈敏戰技,,
SKILL_AGILE_TACTICS_DESC,戰鬥：朝前方發射 3 道擴散箭，每持有一支箭矢額外多 1 道；釋放後清空箭矢。\n彈珠台：使自身彈珠變輕盈；每撞 3 次彈針，獲得 1 支箭矢（最多 5）。,,
SKILL_ENERGY_WAVE_NAME,能量波動,,
SKILL_ENERGY_WAVE_DESC,戰鬥：朝前方發射寬 5 米、長 30 米的直線光束砲擊。\n彈珠台：額外發射一顆能量炮彈珠（非自身彈珠），同一彈針被其碰撞 3 次會破壞；落進獎勵區時 50% 雙倍獎勵、50% 摧毀該格獎勵。,,
SKILL_HEAVENLY_JUDGMENT_NAME,天降重罰,,
SKILL_HEAVENLY_JUDGMENT_DESC,戰鬥：跳躍至空中最多 3 秒，可選擇周圍一定距離地點落下，造成範圍傷害並暈眩；未選擇時原地落下。\n彈珠台：賦予自身超重破壞，發射後垂直落下破壞路徑上所有彈針，並使落入的獎勵在本場戰鬥不再出現；本回合不獲得獎勵（單場最多 3 次）。,,
SKILL_MIRROR_MOON_NAME,鏡花水月,,
SKILL_MIRROR_MOON_DESC,戰鬥：向前方衝刺瞬斬造成傷害，並在原地製造一個能攻擊的分身，持續 3 秒。\n彈珠台：將目前未摧毀的獎勵區間重抽，優先抽換目前獎勵區沒有的獎勵，並保留倍率。,,
PASSIVE_BLOODLUST_NAME,嗜血慾望,,
PASSIVE_BLOODLUST_DESC,武器命中處於流血狀態的敵人時，為自身技能量表填充一段；觸發後 5 秒內不會再次因本被動充能。,,
SKILL_WILD_IMPULSE_NAME,野性衝動,,
SKILL_WILD_IMPULSE_DESC,戰鬥：向前方衝刺抓擊造成傷害並將路徑上的敵人向前推開；施放後 5 秒內可再免費施放 2 次。\n彈珠台：以準星選定彈針並摧毀該處與鄰近彈針；此技能造成的彈針分數最多 20 點。,,
PINBALL_WILD_IMPULSE_HINT,野性衝動：移動準星對準彈針，再按一次技能鍵確認摧毀。,,
ACH_DAMAGE_TAKEN_NAME,鐵壁試煉,,
ACH_DAMAGE_TAKEN_DESC,累積承受 %d 傷害，解鎖 %s。,,
ACH_DAMAGE_DEALT_NAME,奧術覺醒,,
ACH_DAMAGE_DEALT_DESC,累積造成 %d 傷害，解鎖 %s。,,
ACH_KILLS_NAME,戰場證明,,
ACH_KILLS_DESC,累積擊殺 %d 隻敵人，解鎖 %s。,,
ACH_PINBALL_SCORE_NAME,彈珠武道,,
ACH_PINBALL_SCORE_DESC,彈珠台累積 %d 分，解鎖 %s。,,
MAT_WOOD_NAME,木頭,,
MAT_STONE_NAME,石頭,,
MAT_IRON_NAME,鐵,,
MAT_COPPER_NAME,銅,,
MAT_BONE_NAME,骨頭,,
MAT_RAG_NAME,破布,,
SLIME_KING_NAME,史萊姆王,,
CRIMSON_SLIME_KING_NAME,赤紅史萊姆王,,
BONE_SLIME_LORD_NAME,骸骨史萊姆領主,,
ENEMY_SLIME_GREEN_NAME,綠史萊姆,,
ENEMY_SLIME_BLUE_NAME,藍史萊姆,,
ENEMY_SLIME_LIGHTBLUE_NAME,淺藍史萊姆,,
ENEMY_SLIME_DARK_NAME,暗史萊姆,,
ENEMY_SLIME_SPIKE_GREEN_NAME,刺刺綠史萊姆,,
ENEMY_ORC_SCOUT_NAME,獸人斥候,,
ENEMY_ORC_WARRIOR_NAME,獸人戰士,,
ENEMY_ORC_WARRIOR_F_NAME,獸人女戰士,,
ENEMY_ORC_ROGUE_NAME,獸人盜賊,,
ENEMY_ORC_GUARD_NAME,獸人衛兵,,
ENEMY_BOSS_ORC_DUAL_AXE_NAME,獸人雙斧戰士,,
ENEMY_UNDEAD_SK_SWORD_NAME,骷髏劍士,,
ENEMY_UNDEAD_ZOMBIE_NAME,殭屍,,
ENEMY_UNDEAD_SK_ARCHER_NAME,骷髏弓手,,
ENEMY_UNDEAD_WARRIOR_NAME,不死戰士,,
ENEMY_UNDEAD_WRAITH_NAME,怨靈,,
ENEMY_BOSS_SK_MAGE_NAME,骷髏法師,,
STAGE_SLIME_FOREST_NAME,第一關 — 史萊姆平原,,
STAGE_CRIMSON_MARSH_NAME,第二關 — 赤紅沼澤,,
STAGE_BONE_CAVERN_NAME,第三關 — 骸骨洞窟,,
